Interference and Diffraction Data File Wed, Oct 11, 2023 12:51 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	-0.00969
0.00000	-0.01275
0.00000	-0.01033
0.00000	-0.00824
0.00000	-0.01130
0.00000	-0.01226
0.00000	-0.01291
0.00000	-0.00759
0.00000	-0.01404
0.00000	-0.01081
0.00000	-0.01114
0.00000	-0.01210
0.00000	-0.00888
0.00000	-0.00824
0.00000	-0.01017
0.00000	-0.01259
0.00000	-0.01355
0.00000	-0.00679
0.00000	-0.00566
0.00000	-0.01017
0.00000	-0.00840
0.00000	-0.01226
0.00000	-0.01081
0.00000	-0.01243
0.00000	-0.01146
0.00000	-0.00582
0.00000	-0.00937
0.00000	-0.01146
0.00000	-0.00711
0.00000	-0.00840
0.00000	-0.01033
0.00000	-0.01259
-0.00006	-0.01355
-0.00006	-0.00920
-0.00011	-0.01098
-0.00017	-0.01017
-0.00022	-0.00953
-0.00028	-0.01162
-0.00033	-0.00647
-0.00044	-0.00808
-0.00050	-0.01065
-0.00050	-0.01194
-0.00061	-0.01130
-0.00067	-0.01291
-0.00067	-0.00969
-0.00078	-0.00920
-0.00083	-0.01017
-0.00089	-0.00872
-0.00100	-0.00792
-0.00100	-0.01130
-0.00106	-0.01162
-0.00117	-0.00856
-0.00117	-0.00888
-0.00122	-0.01049
-0.00128	-0.00985
-0.00133	-0.01081
-0.00150	-0.00663
-0.00150	-0.01259
-0.00156	-0.00904
-0.00161	-0.01049
-0.00167	-0.00808
-0.00172	-0.00985
-0.00178	-0.00888
-0.00183	-0.01098
-0.00189	-0.01017
-0.00194	-0.01468
-0.00206	-0.00727
-0.00211	-0.01049
-0.00217	-0.01871
-0.00222	-0.01049
-0.00228	-0.00920
-0.00233	-0.00888
-0.00239	-0.01210
-0.00244	-0.01049
-0.00256	-0.00856
-0.00261	-0.00792
-0.00267	-0.00920
-0.00272	-0.01162
-0.00278	-0.01017
-0.00283	-0.00808
-0.00289	-0.01033
-0.00294	-0.00904
-0.00306	-0.01049
-0.00311	-0.01130
-0.00317	-0.00953
-0.00322	-0.01162
-0.00328	-0.01178
-0.00333	-0.00985
-0.00339	-0.00920
-0.00350	-0.01291
-0.00356	-0.00727
-0.00361	-0.01065
-0.00367	-0.01146
-0.00372	-0.01339
-0.00378	-0.01291
-0.00383	-0.00856
-0.00394	-0.00679
-0.00400	-0.00969
-0.00406	-0.01162
-0.00411	-0.01081
-0.00417	-0.01130
-0.00422	-0.01275
-0.00428	-0.00792
-0.00439	-0.00631
-0.00444	-0.01033
-0.00450	-0.01291
-0.00456	-0.00824
-0.00461	-0.00872
-0.00467	-0.01210
-0.00478	-0.01226
-0.00483	-0.00969
-0.00489	-0.00792
-0.00494	-0.01210
-0.00500	-0.00969
-0.00506	-0.01855
-0.00511	-0.00711
-0.00522	-0.01065
-0.00528	-0.01146
-0.00533	-0.01355
-0.00539	-0.00872
-0.00544	-0.00856
-0.00550	-0.00824
-0.00556	-0.01098
-0.00567	-0.00920
-0.00572	-0.01307
-0.00578	-0.01049
-0.00583	-0.00824
-0.00589	-0.00679
-0.00594	-0.00824
-0.00600	-0.01049
-0.00611	-0.00937
-0.00617	-0.01114
-0.00622	-0.00888
-0.00628	-0.01130
-0.00633	-0.00937
-0.00639	-0.00631
-0.00644	-0.01114
-0.00656	-0.00985
-0.00661	-0.00856
-0.00667	-0.01130
-0.00672	-0.01355
-0.00678	-0.00856
-0.00683	-0.01146
-0.00689	-0.01339
-0.00700	-0.00840
-0.00706	-0.00824
-0.00711	-0.01098
-0.00717	-0.00969
-0.00722	-0.01146
-0.00728	-0.01065
-0.00739	-0.01226
-0.00744	-0.01114
-0.00750	-0.01130
-0.00756	-0.00711
-0.00761	-0.01243
-0.00767	-0.01162
-0.00772	-0.01178
-0.00778	-0.01275
-0.00783	-0.00969
-0.00789	-0.00969
-0.00800	-0.01243
-0.00806	-0.01243
-0.00811	-0.00759
-0.00817	-0.01098
-0.00822	-0.01001
-0.00828	-0.00808
-0.00839	-0.00631
-0.00844	-0.00953
-0.00850	-0.01178
-0.00856	-0.00598
-0.00861	-0.00808
-0.00867	-0.00985
-0.00872	-0.00888
-0.00878	-0.01210
-0.00883	-0.01162
-0.00889	-0.01033
-0.00894	-0.01001
-0.00906	-0.00824
-0.00911	-0.00856
-0.00917	-0.00904
-0.00922	-0.00904
-0.00928	-0.01355
-0.00933	-0.01355
-0.00939	-0.01194
-0.00944	-0.00953
-0.00950	-0.00937
-0.00961	-0.01194
-0.00967	-0.00985
-0.00972	-0.00808
-0.00978	-0.01162
-0.00983	-0.00985
-0.00989	-0.00840
-0.00994	-0.01178
-0.01000	-0.01033
-0.01011	-0.00824
-0.01017	-0.00937
